5:9644.0;6:9644.0;7:9644.0;8:9644.0;9:2204.0;msgKey:taiwan_future_MTXM5_1s@1434345640570;Date:1434345640570;KBAR:taiwan_future_MTXM5_1s_1434345640570
5:9645.0;6:9645.0;7:9644.0;8:9644.0;9:4418.0;msgKey:taiwan_future_MTXM5_1s@1434345640570;Date:1434345640570;KBAR:taiwan_future_MTXM5_1s_1434345640570
5:9644.0;6:9645.0;7:9645.0;8:9644.0;9:6645.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:4436.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9645.0;6:9645.0;7:9644.0;8:9644.0;9:4441.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:6669.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9643.0;6:9644.0;7:9644.0;8:9643.0;9:8913.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:4463.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:6718.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9642.0;6:9643.0;7:9643.0;8:9642.0;9:4491.0;msgKey:taiwan_future_MTXM5_1s@1434345640571;Date:1434345640571;KBAR:taiwan_future_MTXM5_1s_1434345640571
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:2251.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9644.0;6:9644.0;7:9643.0;8:9643.0;9:4505.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9643.0;6:9644.0;7:9644.0;8:9643.0;9:6833.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9644.0;6:9645.0;7:9645.0;8:9644.0;9:4600.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9645.0;6:9647.0;7:9647.0;8:9645.0;9:11560.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9649.0;6:9650.0;7:9650.0;8:9649.0;9:4643.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9650.0;6:9652.0;7:9652.0;8:9650.0;9:11666.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9653.0;6:9655.0;7:9655.0;8:9653.0;9:14183.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9655.0;6:9656.0;7:9656.0;8:9655.0;9:14285.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9657.0;6:9657.0;7:9656.0;8:9656.0;9:19153.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9657.0;6:9657.0;7:9655.0;8:9655.0;9:9616.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9652.0;6:9652.0;7:9652.0;8:9652.0;9:2407.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9651.0;6:9654.0;7:9654.0;8:9651.0;9:9647.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9655.0;6:9655.0;7:9654.0;8:9654.0;9:4831.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9655.0;6:9655.0;7:9653.0;8:9653.0;9:7258.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9654.0;6:9654.0;7:9654.0;8:9654.0;9:2422.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9654.0;6:9654.0;7:9654.0;8:9654.0;9:2423.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9654.0;6:9657.0;7:9657.0;8:9654.0;9:7276.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9657.0;6:9658.0;7:9658.0;8:9656.0;9:14606.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9659.0;6:9659.0;7:9659.0;8:9659.0;9:9869.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9660.0;6:9660.0;7:9660.0;8:9660.0;9:7452.0;msgKey:taiwan_future_MTXM5_1s@1434345640572;Date:1434345640572;KBAR:taiwan_future_MTXM5_1s_1434345640572
5:9660.0;6:9660.0;7:9660.0;8:9659.0;9:17500.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9661.0;6:9664.0;7:9664.0;8:9661.0;9:20228.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9664.0;6:9665.0;7:9662.0;8:9662.0;9:17869.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9662.0;6:9662.0;7:9662.0;8:9662.0;9:7683.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9661.0;6:9662.0;7:9662.0;8:9661.0;9:5127.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9661.0;6:9661.0;7:9661.0;8:9661.0;9:2572.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9661.0;6:9661.0;7:9661.0;8:9661.0;9:5149.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9660.0;6:9660.0;7:9660.0;8:9660.0;9:2577.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9659.0;6:9660.0;7:9660.0;8:9659.0;9:7741.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9658.0;6:9658.0;7:9658.0;8:9658.0;9:2587.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9658.0;6:9658.0;7:9657.0;8:9657.0;9:5177.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9656.0;6:9656.0;7:9653.0;8:9653.0;9:7775.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
